PLAYER_ID	POSITION	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
203500	Center	512	448	13731.0	2074	3521	0.589037	0	8	0.0	842	1515	0.555775	1766	2095	3861	586	448	514	728	1347	4990
1628389	Center-Forward	201	97	5015.0	761	1355	0.561623	4	33	0.121212	474	665	0.712781	412	1087	1499	529	164	163	322	461	2000
200746	Center-Forward	996	955	34281.0	7864	15990	0.491807	174	553	0.314647	3560	4388	0.811303	2669	5640	8309	1965	724	1101	1559	2457	19462
1629638	Guard	39	0	494.0	77	225	0.342222	40	117	0.34188	17	28	0.607142	7	71	78	73	11	7	38	43	211
1628960	Guard	68	2	914.0	146	354	0.412429	65	190	0.342105	75	95	0.789473	8	81	89	68	12	7	56	83	432
1628386	Center	202	157	4887.0	788	1305	0.603831	11	65	0.16923	433	619	0.699515	489	1057	1546	230	103	282	243	452	2020
1628443	Guard	47	2	640.0	90	207	0.434782	22	63	0.349206	56	74	0.756756	14	57	71	109	24	8	43	68	258
202329	Forward	688	431	17264.0	1910	4542	0.420519	535	1597	0.335003	893	1199	0.744787	960	3210	4170	848	659	388	835	1273	5248
203937	Forward-Guard	345	146	6666.0	736	1500	0.490666	66	218	0.302752	290	416	0.697115	235	1112	1347	669	329	182	298	480	1828
203507	Forward	511	446	16634.0	3698	7040	0.525284	292	1020	0.286274	2441	3377	0.72283	859	3593	4452	2186	610	675	1396	1538	10129
1628961	Forward	5	0	16.0	0	3	0.0	0	0	0.0	2	4	0.5	0	2	2	1	2	0	1	0	2
203648	Forward	17	1	67.0	16	27	0.592592	0	4	0.0	4	9	0.444444	6	2	8	6	2	1	5	11	36
2546	Forward	1099	1091	39259.0	9342	20847	0.448122	1410	4058	0.347461	5996	7386	0.811806	1862	5303	7165	3218	1112	545	2893	3167	26090
1628384	Forward	191	117	4283.0	548	1163	0.471195	202	570	0.354385	112	181	0.618784	156	494	650	181	151	69	161	388	1410
1627853	Guard	153	32	2968.0	269	624	0.431089	131	351	0.373219	114	136	0.838235	43	278	321	377	96	7	100	267	783
2772	Forward	1049	716	31148.0	3949	9351	0.422307	1510	4299	0.351244	1638	2247	0.728971	1035	4026	5061	2267	1561	324	1420	2100	11046
201571	Guard	846	313	20432.0	2709	6570	0.412328	1088	2865	0.379755	1839	2129	0.863785	254	1362	1616	3388	515	30	1275	1227	8345
1629028	Center	92	86	2877.0	684	1199	0.570475	0	5	0.0	182	241	0.755186	306	674	980	169	75	101	162	273	1550
1628407	Guard-Forward	134	30	2144.0	279	690	0.404347	68	197	0.345177	89	124	0.717741	26	281	307	136	51	9	77	170	715
1628963	Forward	75	10	1901.0	434	873	0.497136	34	118	0.288135	206	293	0.703071	191	377	568	72	39	71	116	163	1108
1628366	Guard	142	129	4565.0	578	1506	0.383798	266	804	0.330845	81	171	0.473684	174	702	876	916	212	81	364	311	1503
1628964	Center	94	1	1472.0	222	467	0.475374	49	152	0.322368	57	93	0.612903	135	336	471	69	30	131	80	188	550
200826	Guard	818	106	16084.0	2802	6599	0.424609	809	2293	0.352812	922	1162	0.793459	251	1475	1726	3215	329	23	1246	1152	7335
203084	Forward	590	529	18331.0	2973	6669	0.445793	721	1941	0.371458	1375	1730	0.794797	585	2302	2887	936	412	113	691	983	8042
1629628	Forward-Guard	41	41	1281.0	210	534	0.393258	47	143	0.328671	111	184	0.60326	44	171	215	101	43	16	90	92	578
203115	Guard	486	151	11792.0	1979	4573	0.432757	551	1589	0.346758	834	1062	0.78531	368	1667	2035	1215	362	200	656	762	5343
1628966	Forward	67	3	1150.0	147	348	0.422413	44	146	0.301369	64	93	0.688172	37	156	193	47	35	34	28	65	402
201587	Guard-Forward	789	714	24732.0	3245	7470	0.434404	1247	3496	0.356693	1381	1642	0.841047	835	3302	4137	2967	747	500	1449	1398	9118
203382	Center-Forward	460	134	7212.0	1072	2156	0.497217	67	215	0.311627	477	597	0.798994	701	1375	2076	369	98	228	388	1020	2688
203145	Guard-Forward	533	278	11221.0	1636	3971	0.411986	567	1626	0.348708	756	1041	0.726224	191	1487	1678	985	542	260	779	1052	4595
1629647	Forward-Guard	51	8	890.0	86	227	0.378854	30	100	0.3	31	45	0.688888	21	172	193	29	19	35	40	45	233
